Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Online,2023-01-01,2023-01-15,1000.0,50000,2000,150
2,In-Store,2023-01-10,2023-01-20,1500.0,30000,500,100
3,Social,2023-01-15,2023-01-25,2000.0,40000,1500,200
4,Email,2023-01-05,2023-01-15,500.0,20000,1000,50
5,TV,2023-01-01,2023-01-31,3000.0,60000,3000,250
6,TV,2023-02-23,2023-03-05,4310.0,97152,4055,289
7,Social,2023-02-25,2023-03-07,3220.0,99703,3718,373
8,TV,2023-03-03,2023-03-15,2880.0,62610,3671,386
9,Social,2023-03-05,2023-03-26,1780.0,54269,403,61
10,TV,2023-03-05,2023-03-18,3920.0,68090,4936,542
11,Online,2023-03-19,2023-04-08,1210.0,53693,1892,167
12,Social,2023-03-27,2023-04-13,3030.0,71180,2223,175
13,In-Store,2023-04-15,2023-04-27,2480.0,44735,844,146
14,In-Store,2023-05-11,2023-05-20,2830.0,46894,555,129
15,In-Store,2023-05-27,2023-06-24,2590.0,58464,1179,214
16,TV,2023-05-28,2023-06-23,3220.0,67475,3160,213
17,TV,2023-06-07,2023-07-10,4780.0,115538,6321,796
18,Online,2023-06-17,2023-07-04,1030.0,43330,1711,79
19,TV,2023-07-20,2023-08-23,3880.0,101966,5980,131
20,TV,2023-07-25,2023-08-27,4110.0,111646,4907,462
21,In-Store,2023-08-04,2023-08-19,2560.0,41628,384,60
22,Social,2023-08-08,2023-09-07,3210.0,101801,3553,384
23,Online,2023-08-23,2023-09-17,1660.0,86476,1788,87
24,TV,2023-09-03,2023-09-26,5110.0,83103,3650,275
25,Social,2023-09-20,2023-10-09,2340.0,74896,3001,135
26,Email,2023-10-14,2023-10-25,600.0,29128,2224,130
27,Online,2023-10-14,2023-11-05,1350.0,61500,1888,91
28,In-Store,2023-10-21,2023-11-02,2110.0,43339,993,161
29,Email,2023-11-23,2023-12-10,380.0,14822,796,39
30,Social,2023-11-25,2023-12-26,2270.0,47054,2134,239
31,In-Store,2023-12-04,2024-01-02,1380.0,28676,578,116
32,Email,2023-12-13,2023-12-27,760.0,25696,872,22
33,Online,2024-01-12,2024-02-01,2400.0,85830,1568,144
34,Email,2024-02-10,2024-02-28,930.0,38093,1948,79
35,Email,2024-03-18,2024-03-26,990.0,32901,2729,154
36,TV,2024-03-26,2024-04-07,4000.0,85210,4039,282
37,Social,2024-04-12,2024-05-16,2950.0,56721,1665,286
38,In-Store,2024-05-19,2024-06-04,2210.0,54391,985,224
39,Online,2024-05-22,2024-06-04,2430.0,139369,5485,336
40,Email,2024-05-31,2024-06-25,520.0,24456,1259,84
41,In-Store,2024-07-17,2024-08-10,2470.0,42046,793,120
42,In-Store,2024-07-17,2024-08-12,1410.0,21367,602,75
43,Email,2024-07-18,2024-07-25,660.0,33196,2223,64
44,Email,2024-07-25,2024-08-21,660.0,23221,1052,57
45,Social,2024-09-24,2024-10-27,2590.0,64230,1342,143
46,Online,2024-09-27,2024-10-30,1970.0,71173,3884,255
47,Social,2024-09-28,2024-10-28,3360.0,58909,1502,206
48,Online,2024-10-10,2024-10-19,2250.0,96787,3921,268
49,Email,2024-10-12,2024-11-12,520.0,17717,1168,81
50,Online,2024-11-21,2024-12-11,870.0,50526,1699,120
