Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,101,2001,2023-01-15,2,50.0,Online
2,102,2002,2023-01-16,1,75.0,In-Store
3,103,2001,2023-01-17,3,30.0,Online
4,104,2003,2023-01-18,1,120.0,In-Store
5,105,2004,2023-01-19,2,45.0,Online
6,115,2006,2023-10-09,4,520.0,In-Store
7,109,2006,2023-10-18,2,60.0,Online
8,111,2006,2024-10-08,2,70.0,Online
9,110,2006,2024-11-21,1,110.0,In-Store
10,101,2006,2024-12-07,1,25.0,In-Store
11,113,2008,2024-01-17,1,180.0,Online
12,113,2008,2024-07-16,1,180.0,Online
13,118,2009,2024-04-17,1,60.0,In-Store
14,105,2009,2024-04-20,1,22.5,In-Store
15,113,2010,2023-12-20,1,180.0,In-Store
16,106,2010,2024-04-15,1,40.0,In-Store
17,106,2011,2023-01-17,2,80.0,In-Store
18,108,2011,2023-02-09,1,55.0,Online
19,107,2011,2023-04-24,1,65.0,Online
20,105,2011,2023-08-19,1,22.5,Online
21,120,2011,2023-10-12,3,45.0,Online
22,111,2011,2023-11-23,2,70.0,Online
23,106,2011,2023-12-11,2,80.0,Online
24,101,2011,2024-06-16,2,50.0,Online
25,101,2011,2024-06-26,4,100.0,Online
26,120,2011,2024-08-24,2,30.0,Online
27,111,2011,2024-10-09,2,70.0,In-Store
28,109,2011,2024-11-16,2,60.0,Online
29,109,2011,2024-11-24,2,60.0,Online
30,109,2011,2024-12-01,3,90.0,Online
31,107,2011,2024-12-14,1,65.0,Online
32,101,2012,2024-10-31,3,75.0,Online
33,113,2013,2023-11-26,1,180.0,In-Store
34,113,2013,2023-12-22,1,180.0,In-Store
35,114,2013,2024-06-24,2,300.0,Online
36,114,2013,2024-09-04,1,150.0,In-Store
37,114,2013,2024-12-05,1,150.0,In-Store
38,113,2013,2024-12-18,1,180.0,Online
39,114,2013,2024-12-24,1,150.0,In-Store
40,113,2014,2023-05-24,1,180.0,Online
41,104,2014,2023-06-06,1,120.0,In-Store
42,114,2014,2023-08-11,1,150.0,Online
43,104,2014,2024-01-22,1,120.0,Online
44,113,2014,2024-02-23,1,180.0,In-Store
45,119,2014,2024-04-24,1,45.0,In-Store
46,113,2014,2024-10-18,1,180.0,Online
47,116,2017,2023-09-28,2,40.0,Online
48,113,2018,2023-04-03,1,180.0,Online
49,109,2018,2023-08-23,1,30.0,In-Store
50,109,2018,2024-02-01,1,30.0,In-Store
51,106,2018,2024-10-23,2,80.0,In-Store
52,111,2018,2024-11-16,1,35.0,In-Store
53,111,2018,2024-11-29,1,35.0,In-Store
54,105,2019,2024-04-15,1,22.5,Online
55,117,2020,2023-03-16,1,18.0,Online
56,109,2020,2023-03-18,1,30.0,In-Store
57,116,2020,2023-04-03,1,20.0,In-Store
58,101,2020,2023-06-05,2,50.0,In-Store
59,117,2020,2023-08-06,2,36.0,Online
60,109,2020,2023-08-09,1,30.0,Online
61,106,2020,2023-09-05,2,80.0,Online
62,116,2020,2024-01-01,2,40.0,Online
63,118,2020,2024-04-19,1,60.0,Online
64,116,2020,2024-05-11,1,20.0,Online
65,117,2020,2024-05-15,1,18.0,Online
66,103,2020,2024-05-16,1,30.0,Online
67,107,2020,2024-05-20,3,195.0,In-Store
68,109,2020,2024-06-21,1,30.0,Online
