Customer_ID,Age,Gender,Location,Join_Date,Anciennete_Jours,Total_Spent,Nb_Achats,Montant_Total,Panier_Moyen,Premier_Achat,Dernier_Achat,Recence_Jours,Part_Clothing,Part_Footwear,Part_Outerwear,Part_Accessories,Canal_Prefere,Part_Online
2001,28,Female,New York,2022-05-10,966,500.0,2,140.0,70.0,2023-01-15,2023-01-17,714,35.71,64.29,0.0,0.0,Online,100.0
2002,35,Male,Los Angeles,2022-06-15,930,750.0,1,75.0,75.0,2023-01-16,2023-01-16,715,100.0,0.0,0.0,0.0,In-Store,0.0
2003,22,Male,Chicago,2022-07-20,895,300.0,1,120.0,120.0,2023-01-18,2023-01-18,713,0.0,0.0,100.0,0.0,In-Store,0.0
2004,30,Female,Houston,2022-08-25,859,600.0,1,45.0,45.0,2023-01-19,2023-01-19,712,0.0,0.0,0.0,100.0,Online,100.0
2005,27,Female,Phoenix,2022-09-30,823,450.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2006,51,Female,Houston,2022-02-14,1051,952.82,5,785.0,157.0,2023-10-09,2024-12-07,24,10.83,22.93,66.24,0.0,In-Store,40.0
2007,32,Male,Los Angeles,2023-06-15,565,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2008,35,Female,Miami,2023-10-19,439,360.0,2,360.0,180.0,2024-01-17,2024-07-16,168,0.0,0.0,100.0,0.0,Online,100.0
2009,26,Male,San Diego,2024-01-13,353,82.5,2,82.5,41.25,2024-04-17,2024-04-20,255,0.0,0.0,0.0,100.0,In-Store,0.0
2010,49,Female,Dallas,2023-10-16,442,220.0,2,220.0,110.0,2023-12-20,2024-04-15,260,18.18,0.0,81.82,0.0,In-Store,0.0
2011,22,Female,Chicago,2021-01-18,1443,1408.95,15,942.5,62.83,2023-01-17,2024-12-14,17,74.8,14.85,0.0,10.34,Online,86.67
2012,53,Male,Dallas,2024-01-12,354,75.0,1,75.0,75.0,2024-10-31,2024-10-31,61,100.0,0.0,0.0,0.0,Online,100.0
2013,39,Female,San Diego,2023-07-04,546,1290.0,7,1290.0,184.29,2023-11-26,2024-12-24,7,0.0,0.0,100.0,0.0,In-Store,28.57
2014,38,Female,Phoenix,2021-05-29,1312,1173.09,7,975.0,139.29,2023-05-24,2024-10-18,74,0.0,0.0,95.38,4.62,Online,57.14
2015,35,Male,San Diego,2023-07-11,539,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2016,26,Male,Chicago,2023-07-22,528,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2017,46,Female,San Antonio,2022-10-06,817,103.14,1,40.0,40.0,2023-09-28,2023-09-28,460,0.0,0.0,0.0,100.0,Online,100.0
2018,49,Male,Houston,2022-07-21,894,452.78,6,390.0,65.0,2023-04-03,2024-11-29,32,35.9,17.95,46.15,0.0,In-Store,16.67
2019,40,Male,Philadelphia,2024-02-04,331,22.5,1,22.5,22.5,2024-04-15,2024-04-15,260,0.0,0.0,0.0,100.0,Online,100.0
2020,21,Female,San Diego,2023-03-08,664,1012.0,19,1012.0,53.26,2023-03-16,2024-12-25,6,54.84,22.73,0.0,22.43,Online,78.95
2021,36,Male,Dallas,2021-01-02,1459,868.15,6,271.5,45.25,2023-09-16,2024-10-23,69,55.25,0.0,0.0,44.75,Online,66.67
2022,36,Male,Chicago,2021-05-20,1321,1949.87,10,1555.0,155.5,2023-03-15,2024-12-26,5,3.54,0.0,96.46,0.0,Online,50.0
2023,22,Female,Chicago,2024-05-15,230,261.0,6,261.0,43.5,2024-05-22,2024-12-29,2,40.23,11.49,0.0,48.28,Online,100.0
2024,61,Male,Chicago,2021-02-04,1426,1103.47,9,580.0,64.44,2023-07-18,2024-09-29,93,50.0,0.0,46.55,3.45,In-Store,22.22
2025,33,Female,Los Angeles,2022-12-22,740,2.36,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2026,42,Male,San Antonio,2021-07-12,1268,1437.35,7,1195.0,170.71,2023-03-23,2024-12-19,12,6.28,0.0,93.72,0.0,In-Store,42.86
2027,31,Male,Phoenix,2021-06-20,1290,543.15,4,177.5,44.38,2023-08-22,2024-10-23,69,61.97,0.0,0.0,38.03,Online,75.0
2028,34,Female,Philadelphia,2021-10-31,1157,1362.36,7,1090.0,155.71,2023-05-16,2024-10-11,81,0.0,30.28,69.72,0.0,Online,57.14
2029,31,Male,Miami,2022-01-30,1066,422.97,5,245.5,49.1,2023-04-27,2024-06-29,185,69.25,14.26,0.0,16.5,Online,80.0
2030,26,Female,Los Angeles,2023-11-22,405,67.5,2,67.5,33.75,2023-12-04,2024-01-07,359,0.0,0.0,0.0,100.0,Online,100.0
2031,47,Female,San Diego,2023-08-11,508,175.5,4,175.5,43.88,2023-12-18,2024-11-12,49,42.74,0.0,0.0,57.26,Online,75.0
2032,35,Male,San Diego,2022-11-26,766,201.95,1,180.0,180.0,2023-06-01,2023-06-01,579,0.0,0.0,100.0,0.0,In-Store,0.0
2033,49,Male,New York,2021-03-16,1386,2123.1,14,1697.5,121.25,2023-03-23,2024-12-14,17,42.12,12.96,42.42,2.5,In-Store,14.29
2034,18,Female,Chicago,2024-03-26,280,108.0,2,108.0,54.0,2024-06-06,2024-08-01,152,83.33,0.0,0.0,16.67,Online,50.0
2035,20,Male,San Diego,2024-01-05,361,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2036,21,Female,San Antonio,2022-11-12,780,977.66,16,967.5,60.47,2023-02-25,2024-12-02,29,36.69,47.03,0.0,16.28,Online,100.0
2037,59,Male,Philadelphia,2021-10-17,1171,1048.75,13,855.0,65.77,2023-02-19,2024-12-04,27,21.05,43.86,31.58,3.51,In-Store,23.08
2038,24,Female,Philadelphia,2022-12-03,759,301.98,6,291.0,48.5,2023-01-26,2023-04-21,620,56.7,30.93,0.0,12.37,Online,66.67
2039,23,Male,Phoenix,2024-04-30,245,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2040,28,Male,Houston,2023-04-03,638,630.0,4,630.0,157.5,2023-06-26,2024-04-15,260,0.0,0.0,100.0,0.0,Online,75.0
2041,21,Female,Phoenix,2023-08-25,494,388.0,6,388.0,64.67,2023-09-17,2024-12-13,18,6.44,72.16,0.0,21.39,Online,100.0
2042,22,Female,Dallas,2022-03-23,1014,686.41,7,512.5,73.21,2023-03-14,2024-01-14,352,58.54,6.83,0.0,34.63,Online,100.0
2043,20,Female,Houston,2021-01-29,1432,714.94,3,245.0,81.67,2023-01-14,2023-02-16,684,65.31,34.69,0.0,0.0,Online,100.0
2044,18,Male,Miami,2021-05-25,1316,1177.07,18,1006.0,55.89,2023-01-01,2024-05-17,228,43.24,45.73,0.0,11.03,Online,88.89
2045,42,Female,Los Angeles,2022-01-19,1077,1103.76,6,940.0,156.67,2023-03-31,2024-11-05,56,0.0,0.0,100.0,0.0,In-Store,33.33
2046,47,Female,Chicago,2024-02-20,315,810.0,4,810.0,202.5,2024-03-17,2024-10-02,90,0.0,0.0,100.0,0.0,In-Store,50.0
2047,34,Male,Los Angeles,2023-06-12,568,870.0,4,870.0,217.5,2023-10-30,2024-10-29,63,0.0,0.0,100.0,0.0,In-Store,50.0
2048,20,Male,Phoenix,2021-08-30,1219,272.01,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2049,23,Male,Phoenix,2022-07-21,894,1025.33,20,971.5,48.58,2023-03-25,2024-12-20,11,56.61,3.6,0.0,39.78,Online,80.0
2050,40,Male,San Diego,2023-06-12,568,655.0,7,655.0,93.57,2023-06-28,2024-12-22,9,52.67,0.0,47.33,0.0,In-Store,42.86
2051,34,Male,San Diego,2022-04-30,976,1598.96,7,1400.0,200.0,2023-02-17,2024-06-16,198,0.0,0.0,100.0,0.0,In-Store,28.57
2052,25,Male,Houston,2021-11-02,1155,1056.43,15,977.5,65.17,2023-01-02,2024-12-28,3,34.27,44.5,0.0,21.23,Online,86.67
2053,42,Female,San Diego,2022-06-06,939,131.34,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2054,37,Male,Phoenix,2023-06-07,573,1245.0,9,1245.0,138.33,2023-08-16,2024-06-14,200,2.01,0.0,97.99,0.0,Online,66.67
2055,40,Female,Chicago,2023-10-25,433,150.0,3,150.0,50.0,2023-12-09,2024-04-09,266,73.33,0.0,0.0,26.67,Online,100.0
2056,27,Female,Houston,2021-09-26,1192,344.8,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2057,34,Female,Dallas,2024-01-05,361,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
