Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,CTR,Taux_Conversion,CPC,CPA,Revenu_Estime,ROI
1,Online,2023-01-01,2023-01-15,1000.0,50000,2000,150,4.0,7.5,0.5,6.67,13621.5,1262.15
2,In-Store,2023-01-10,2023-01-20,1500.0,30000,500,100,1.67,20.0,3.0,15.0,9081.0,505.4
3,Social,2023-01-15,2023-01-25,2000.0,40000,1500,200,3.75,13.33,1.33,10.0,18162.0,808.1
4,Email,2023-01-05,2023-01-15,500.0,20000,1000,50,5.0,5.0,0.5,10.0,4540.5,808.1
5,TV,2023-01-01,2023-01-31,3000.0,60000,3000,250,5.0,8.33,1.0,12.0,22702.5,656.75
6,TV,2023-02-23,2023-03-05,4310.0,97152,4055,289,4.17,7.13,1.06,14.91,26244.09,508.91
7,Social,2023-02-25,2023-03-07,3220.0,99703,3718,373,3.73,10.03,0.87,8.63,33872.13,951.93
8,TV,2023-03-03,2023-03-15,2880.0,62610,3671,386,5.86,10.51,0.78,7.46,35052.66,1117.11
9,Social,2023-03-05,2023-03-26,1780.0,54269,403,61,0.74,15.14,4.42,29.18,5539.41,211.2
10,TV,2023-03-05,2023-03-18,3920.0,68090,4936,542,7.25,10.98,0.79,7.23,49219.02,1155.59
11,Online,2023-03-19,2023-04-08,1210.0,53693,1892,167,3.52,8.83,0.64,7.25,15165.27,1153.33
12,Social,2023-03-27,2023-04-13,3030.0,71180,2223,175,3.12,7.87,1.36,17.31,15891.75,424.48
13,In-Store,2023-04-15,2023-04-27,2480.0,44735,844,146,1.89,17.3,2.94,16.99,13258.26,434.61
14,In-Store,2023-05-11,2023-05-20,2830.0,46894,555,129,1.18,23.24,5.1,21.94,11714.49,313.94
15,In-Store,2023-05-27,2023-06-24,2590.0,58464,1179,214,2.02,18.15,2.2,12.1,19433.34,650.32
16,TV,2023-05-28,2023-06-23,3220.0,67475,3160,213,4.68,6.74,1.02,15.12,19342.53,500.7
17,TV,2023-06-07,2023-07-10,4780.0,115538,6321,796,5.47,12.59,0.76,6.01,72284.76,1412.23
18,Online,2023-06-17,2023-07-04,1030.0,43330,1711,79,3.95,4.62,0.6,13.04,7173.99,596.5
19,TV,2023-07-20,2023-08-23,3880.0,101966,5980,131,5.86,2.19,0.65,29.62,11896.11,206.6
20,TV,2023-07-25,2023-08-27,4110.0,111646,4907,462,4.4,9.42,0.84,8.9,41954.22,920.78
21,In-Store,2023-08-04,2023-08-19,2560.0,41628,384,60,0.92,15.62,6.67,42.67,5448.6,112.84
22,Social,2023-08-08,2023-09-07,3210.0,101801,3553,384,3.49,10.81,0.9,8.36,34871.04,986.33
23,Online,2023-08-23,2023-09-17,1660.0,86476,1788,87,2.07,4.87,0.93,19.08,7900.47,375.93
24,TV,2023-09-03,2023-09-26,5110.0,83103,3650,275,4.39,7.53,1.4,18.58,24972.75,388.7
25,Social,2023-09-20,2023-10-09,2340.0,74896,3001,135,4.01,4.5,0.78,17.33,12259.35,423.9
26,Email,2023-10-14,2023-10-25,600.0,29128,2224,130,7.64,5.85,0.27,4.62,11805.3,1867.55
27,Online,2023-10-14,2023-11-05,1350.0,61500,1888,91,3.07,4.82,0.72,14.84,8263.71,512.13
28,In-Store,2023-10-21,2023-11-02,2110.0,43339,993,161,2.29,16.21,2.12,13.11,14620.41,592.91
29,Email,2023-11-23,2023-12-10,380.0,14822,796,39,5.37,4.9,0.48,9.74,3541.59,832.0
30,Social,2023-11-25,2023-12-26,2270.0,47054,2134,239,4.54,11.2,1.06,9.5,21703.59,856.11
31,In-Store,2023-12-04,2024-01-02,1380.0,28676,578,116,2.02,20.07,2.39,11.9,10533.96,663.33
32,Email,2023-12-13,2023-12-27,760.0,25696,872,22,3.39,2.52,0.87,34.55,1997.82,162.87
33,Online,2024-01-12,2024-02-01,2400.0,85830,1568,144,1.83,9.18,1.53,16.67,13076.64,444.86
34,Email,2024-02-10,2024-02-28,930.0,38093,1948,79,5.11,4.06,0.48,11.77,7173.99,671.4
35,Email,2024-03-18,2024-03-26,990.0,32901,2729,154,8.29,5.64,0.36,6.43,13984.74,1312.6
36,TV,2024-03-26,2024-04-07,4000.0,85210,4039,282,4.74,6.98,0.99,14.18,25608.42,540.21
37,Social,2024-04-12,2024-05-16,2950.0,56721,1665,286,2.94,17.18,1.77,10.31,25971.66,780.4
38,In-Store,2024-05-19,2024-06-04,2210.0,54391,985,224,1.81,22.74,2.24,9.87,20341.44,820.43
39,Online,2024-05-22,2024-06-04,2430.0,139369,5485,336,3.94,6.13,0.44,7.23,30512.16,1155.64
40,Email,2024-05-31,2024-06-25,520.0,24456,1259,84,5.15,6.67,0.41,6.19,7628.04,1366.93
41,In-Store,2024-07-17,2024-08-10,2470.0,42046,793,120,1.89,15.13,3.11,20.58,10897.2,341.18
42,In-Store,2024-07-17,2024-08-12,1410.0,21367,602,75,2.82,12.46,2.34,18.8,6810.75,383.03
43,Email,2024-07-18,2024-07-25,660.0,33196,2223,64,6.7,2.88,0.3,10.31,5811.84,780.58
44,Email,2024-07-25,2024-08-21,660.0,23221,1052,57,4.53,5.42,0.63,11.58,5176.17,684.27
45,Social,2024-09-24,2024-10-27,2590.0,64230,1342,143,2.09,10.66,1.93,18.11,12985.83,401.38
46,Online,2024-09-27,2024-10-30,1970.0,71173,3884,255,5.46,6.57,0.51,7.73,23156.55,1075.46
47,Social,2024-09-28,2024-10-28,3360.0,58909,1502,206,2.55,13.72,2.24,16.31,18706.86,456.75
48,Online,2024-10-10,2024-10-19,2250.0,96787,3921,268,4.05,6.83,0.57,8.4,24337.08,981.65
49,Email,2024-10-12,2024-11-12,520.0,17717,1168,81,6.59,6.93,0.45,6.42,7355.61,1314.54
50,Online,2024-11-21,2024-12-11,870.0,50526,1699,120,3.36,7.06,0.51,7.25,10897.2,1152.55
