Customer_ID,Segment_ID,Segment_Nom
2001,0,Acheteurs ponctuels inactifs
2002,0,Acheteurs ponctuels inactifs
2003,1,Clients premium Outerwear
2004,0,Acheteurs ponctuels inactifs
2005,-1,Clients sans achat
2006,1,Clients premium Outerwear
2007,-1,Clients sans achat
2008,1,Clients premium Outerwear
2009,0,Acheteurs ponctuels inactifs
2010,1,Clients premium Outerwear
2011,2,Jeunes acheteurs en ligne
2012,0,Acheteurs ponctuels inactifs
2013,1,Clients premium Outerwear
2014,1,Clients premium Outerwear
2015,-1,Clients sans achat
2016,-1,Clients sans achat
2017,0,Acheteurs ponctuels inactifs
2018,3,Fidèles en magasin
2019,0,Acheteurs ponctuels inactifs
2020,2,Jeunes acheteurs en ligne
2021,2,Jeunes acheteurs en ligne
2022,1,Clients premium Outerwear
2023,2,Jeunes acheteurs en ligne
2024,3,Fidèles en magasin
2025,-1,Clients sans achat
2026,1,Clients premium Outerwear
2027,2,Jeunes acheteurs en ligne
2028,1,Clients premium Outerwear
2029,2,Jeunes acheteurs en ligne
2030,0,Acheteurs ponctuels inactifs
2031,0,Acheteurs ponctuels inactifs
2032,1,Clients premium Outerwear
2033,3,Fidèles en magasin
2034,0,Acheteurs ponctuels inactifs
2035,-1,Clients sans achat
2036,2,Jeunes acheteurs en ligne
2037,3,Fidèles en magasin
2038,0,Acheteurs ponctuels inactifs
2039,-1,Clients sans achat
2040,1,Clients premium Outerwear
2041,2,Jeunes acheteurs en ligne
2042,2,Jeunes acheteurs en ligne
2043,0,Acheteurs ponctuels inactifs
2044,2,Jeunes acheteurs en ligne
2045,1,Clients premium Outerwear
2046,1,Clients premium Outerwear
2047,1,Clients premium Outerwear
2048,-1,Clients sans achat
2049,2,Jeunes acheteurs en ligne
2050,3,Fidèles en magasin
2051,1,Clients premium Outerwear
2052,2,Jeunes acheteurs en ligne
2053,-1,Clients sans achat
2054,1,Clients premium Outerwear
2055,0,Acheteurs ponctuels inactifs
2056,-1,Clients sans achat
2057,-1,Clients sans achat
2058,3,Fidèles en magasin
2059,1,Clients premium Outerwear
2060,-1,Clients sans achat
2061,1,Clients premium Outerwear
2062,0,Acheteurs ponctuels inactifs
2063,-1,Clients sans achat
2064,1,Clients premium Outerwear
2065,0,Acheteurs ponctuels inactifs
2066,0,Acheteurs ponctuels inactifs
2067,0,Acheteurs ponctuels inactifs
2068,1,Clients premium Outerwear
2069,2,Jeunes acheteurs en ligne
2070,2,Jeunes acheteurs en ligne
2071,1,Clients premium Outerwear
2072,2,Jeunes acheteurs en ligne
2073,3,Fidèles en magasin
2074,2,Jeunes acheteurs en ligne
2075,1,Clients premium Outerwear
2076,0,Acheteurs ponctuels inactifs
2077,1,Clients premium Outerwear
2078,0,Acheteurs ponctuels inactifs
2079,1,Clients premium Outerwear
2080,2,Jeunes acheteurs en ligne
2081,0,Acheteurs ponctuels inactifs
2082,2,Jeunes acheteurs en ligne
2083,1,Clients premium Outerwear
